Cell Type,TF/HM,Read Type,BAM URL,PEAKS_URL
K562,ZNF830,Paired,https://www.encodeproject.org/files/ENCFF862OJR/@@download/ENCFF862OJR.bam,https://www.encodeproject.org/files/ENCFF184LWN/@@download/ENCFF184LWN.bed.gz
K562,ZNF830,Paired,https://www.encodeproject.org/files/ENCFF929DJW/@@download/ENCFF929DJW.bam,https://www.encodeproject.org/files/ENCFF184LWN/@@download/ENCFF184LWN.bed.gz
K562,ZNF830,Paired,https://www.encodeproject.org/files/ENCFF203FSJ/@@download/ENCFF203FSJ.bam,https://www.encodeproject.org/files/ENCFF184LWN/@@download/ENCFF184LWN.bed.gz
K562,ZNF407,Paired,https://www.encodeproject.org/files/ENCFF122RDI/@@download/ENCFF122RDI.bam,https://www.encodeproject.org/files/ENCFF858SYW/@@download/ENCFF858SYW.bed.gz
K562,ZNF407,Paired,https://www.encodeproject.org/files/ENCFF778YDK/@@download/ENCFF778YDK.bam,https://www.encodeproject.org/files/ENCFF858SYW/@@download/ENCFF858SYW.bed.gz
K562,ZNF407,Paired,https://www.encodeproject.org/files/ENCFF188WFI/@@download/ENCFF188WFI.bam,https://www.encodeproject.org/files/ENCFF858SYW/@@download/ENCFF858SYW.bed.gz
K562,ZNF407,Paired,https://www.encodeproject.org/files/ENCFF554KBV/@@download/ENCFF554KBV.bam,https://www.encodeproject.org/files/ENCFF858SYW/@@download/ENCFF858SYW.bed.gz
K562,ZBTB40,Paired,https://www.encodeproject.org/files/ENCFF893OYD/@@download/ENCFF893OYD.bam,https://www.encodeproject.org/files/ENCFF707CDO/@@download/ENCFF707CDO.bed.gz
K562,ZBTB40,Paired,https://www.encodeproject.org/files/ENCFF295CQL/@@download/ENCFF295CQL.bam,https://www.encodeproject.org/files/ENCFF707CDO/@@download/ENCFF707CDO.bed.gz
K562 genetically modified using stable transfection,eGFP-CEBPB,Paired,https://www.encodeproject.org/files/ENCFF071WQM/@@download/ENCFF071WQM.bam,https://www.encodeproject.org/files/ENCFF441YTV/@@download/ENCFF441YTV.bed.gz
K562 genetically modified using stable transfection,eGFP-CEBPB,Paired,https://www.encodeproject.org/files/ENCFF951SEJ/@@download/ENCFF951SEJ.bam,https://www.encodeproject.org/files/ENCFF441YTV/@@download/ENCFF441YTV.bed.gz
K562,RB1,Paired,https://www.encodeproject.org/files/ENCFF637PNR/@@download/ENCFF637PNR.bam,https://www.encodeproject.org/files/ENCFF634SVO/@@download/ENCFF634SVO.bed.gz
K562,RB1,Paired,https://www.encodeproject.org/files/ENCFF692TUA/@@download/ENCFF692TUA.bam,https://www.encodeproject.org/files/ENCFF634SVO/@@download/ENCFF634SVO.bed.gz
K562,SMARCC2,Paired,https://www.encodeproject.org/files/ENCFF501IXT/@@download/ENCFF501IXT.bam,https://www.encodeproject.org/files/ENCFF036DTR/@@download/ENCFF036DTR.bed.gz
K562,SMARCC2,Paired,https://www.encodeproject.org/files/ENCFF662JMK/@@download/ENCFF662JMK.bam,https://www.encodeproject.org/files/ENCFF036DTR/@@download/ENCFF036DTR.bed.gz
K562,HDAC3,Paired,https://www.encodeproject.org/files/ENCFF370NZS/@@download/ENCFF370NZS.bam,https://www.encodeproject.org/files/ENCFF275SGC/@@download/ENCFF275SGC.bed.gz
K562,HDAC3,Paired,https://www.encodeproject.org/files/ENCFF345VAR/@@download/ENCFF345VAR.bam,https://www.encodeproject.org/files/ENCFF275SGC/@@download/ENCFF275SGC.bed.gz
K562 genetically modified using stable transfection,eGFP-RELA,Paired,https://www.encodeproject.org/files/ENCFF392CDE/@@download/ENCFF392CDE.bam,https://www.encodeproject.org/files/ENCFF347CVK/@@download/ENCFF347CVK.bed.gz
K562 genetically modified using stable transfection,eGFP-RELA,Paired,https://www.encodeproject.org/files/ENCFF070QUN/@@download/ENCFF070QUN.bam,https://www.encodeproject.org/files/ENCFF347CVK/@@download/ENCFF347CVK.bed.gz
K562,ZNF639,Paired,https://www.encodeproject.org/files/ENCFF901FMU/@@download/ENCFF901FMU.bam,https://www.encodeproject.org/files/ENCFF225XFM/@@download/ENCFF225XFM.bed.gz
K562,ZNF639,Paired,https://www.encodeproject.org/files/ENCFF856OQX/@@download/ENCFF856OQX.bam,https://www.encodeproject.org/files/ENCFF225XFM/@@download/ENCFF225XFM.bed.gz
K562,ZNF639,Paired,https://www.encodeproject.org/files/ENCFF051DWX/@@download/ENCFF051DWX.bam,https://www.encodeproject.org/files/ENCFF225XFM/@@download/ENCFF225XFM.bed.gz
K562,ZNF639,Paired,https://www.encodeproject.org/files/ENCFF572AJL/@@download/ENCFF572AJL.bam,https://www.encodeproject.org/files/ENCFF225XFM/@@download/ENCFF225XFM.bed.gz
GM12878,YBX1,Paired,https://www.encodeproject.org/files/ENCFF644ETK/@@download/ENCFF644ETK.bam,https://www.encodeproject.org/files/ENCFF019TVN/@@download/ENCFF019TVN.bed.gz
GM12878,YBX1,Paired,https://www.encodeproject.org/files/ENCFF404VIO/@@download/ENCFF404VIO.bam,https://www.encodeproject.org/files/ENCFF019TVN/@@download/ENCFF019TVN.bed.gz
GM12878,DPF2,Paired,https://www.encodeproject.org/files/ENCFF297GLO/@@download/ENCFF297GLO.bam,https://www.encodeproject.org/files/ENCFF150YMV/@@download/ENCFF150YMV.bed.gz
GM12878,DPF2,Paired,https://www.encodeproject.org/files/ENCFF787OQV/@@download/ENCFF787OQV.bam,https://www.encodeproject.org/files/ENCFF150YMV/@@download/ENCFF150YMV.bed.gz
K562,KDM1A,Paired,https://www.encodeproject.org/files/ENCFF844OKB/@@download/ENCFF844OKB.bam,https://www.encodeproject.org/files/ENCFF797FYJ/@@download/ENCFF797FYJ.bed.gz
K562,KDM1A,Paired,https://www.encodeproject.org/files/ENCFF819KCS/@@download/ENCFF819KCS.bam,https://www.encodeproject.org/files/ENCFF797FYJ/@@download/ENCFF797FYJ.bed.gz
K562,KDM1A,Paired,https://www.encodeproject.org/files/ENCFF636WSC/@@download/ENCFF636WSC.bam,https://www.encodeproject.org/files/ENCFF797FYJ/@@download/ENCFF797FYJ.bed.gz
K562,KDM1A,Paired,https://www.encodeproject.org/files/ENCFF984QQT/@@download/ENCFF984QQT.bam,https://www.encodeproject.org/files/ENCFF797FYJ/@@download/ENCFF797FYJ.bed.gz
GM12878,BHLHE40,Paired,https://www.encodeproject.org/files/ENCFF510KSK/@@download/ENCFF510KSK.bam,https://www.encodeproject.org/files/ENCFF884ZYH/@@download/ENCFF884ZYH.bed.gz
GM12878,BHLHE40,Paired,https://www.encodeproject.org/files/ENCFF720VMA/@@download/ENCFF720VMA.bam,https://www.encodeproject.org/files/ENCFF884ZYH/@@download/ENCFF884ZYH.bed.gz
K562,RLF,Paired,https://www.encodeproject.org/files/ENCFF960MHY/@@download/ENCFF960MHY.bam,https://www.encodeproject.org/files/ENCFF563QBT/@@download/ENCFF563QBT.bed.gz
K562,RLF,Paired,https://www.encodeproject.org/files/ENCFF562COY/@@download/ENCFF562COY.bam,https://www.encodeproject.org/files/ENCFF563QBT/@@download/ENCFF563QBT.bed.gz
K562,FOXM1,Paired,https://www.encodeproject.org/files/ENCFF357QBO/@@download/ENCFF357QBO.bam,https://www.encodeproject.org/files/ENCFF847FHY/@@download/ENCFF847FHY.bed.gz
K562,FOXM1,Paired,https://www.encodeproject.org/files/ENCFF866PHS/@@download/ENCFF866PHS.bam,https://www.encodeproject.org/files/ENCFF847FHY/@@download/ENCFF847FHY.bed.gz
K562,TRIP13,Paired,https://www.encodeproject.org/files/ENCFF744NMO/@@download/ENCFF744NMO.bam,https://www.encodeproject.org/files/ENCFF372LVB/@@download/ENCFF372LVB.bed.gz
K562,TRIP13,Paired,https://www.encodeproject.org/files/ENCFF619ONV/@@download/ENCFF619ONV.bam,https://www.encodeproject.org/files/ENCFF372LVB/@@download/ENCFF372LVB.bed.gz
K562,NR2F1,Paired,https://www.encodeproject.org/files/ENCFF188CZN/@@download/ENCFF188CZN.bam,https://www.encodeproject.org/files/ENCFF035WWJ/@@download/ENCFF035WWJ.bed.gz
K562,NR2F1,Paired,https://www.encodeproject.org/files/ENCFF688SSK/@@download/ENCFF688SSK.bam,https://www.encodeproject.org/files/ENCFF035WWJ/@@download/ENCFF035WWJ.bed.gz
GM12878,ARNT,Paired,https://www.encodeproject.org/files/ENCFF397TMG/@@download/ENCFF397TMG.bam,https://www.encodeproject.org/files/ENCFF120JZJ/@@download/ENCFF120JZJ.bed.gz
GM12878,ARNT,Paired,https://www.encodeproject.org/files/ENCFF978HGN/@@download/ENCFF978HGN.bam,https://www.encodeproject.org/files/ENCFF120JZJ/@@download/ENCFF120JZJ.bed.gz
K562,ZNF318,Paired,https://www.encodeproject.org/files/ENCFF497PYQ/@@download/ENCFF497PYQ.bam,https://www.encodeproject.org/files/ENCFF688JRI/@@download/ENCFF688JRI.bed.gz
K562,ZNF318,Paired,https://www.encodeproject.org/files/ENCFF974JDO/@@download/ENCFF974JDO.bam,https://www.encodeproject.org/files/ENCFF688JRI/@@download/ENCFF688JRI.bed.gz
K562,ZNF318,Paired,https://www.encodeproject.org/files/ENCFF343WUW/@@download/ENCFF343WUW.bam,https://www.encodeproject.org/files/ENCFF688JRI/@@download/ENCFF688JRI.bed.gz
K562,ZNF318,Paired,https://www.encodeproject.org/files/ENCFF720PEL/@@download/ENCFF720PEL.bam,https://www.encodeproject.org/files/ENCFF688JRI/@@download/ENCFF688JRI.bed.gz
GM12878,TBX21,Paired,https://www.encodeproject.org/files/ENCFF838KAW/@@download/ENCFF838KAW.bam,https://www.encodeproject.org/files/ENCFF096FPV/@@download/ENCFF096FPV.bed.gz
GM12878,TBX21,Paired,https://www.encodeproject.org/files/ENCFF640ZFH/@@download/ENCFF640ZFH.bam,https://www.encodeproject.org/files/ENCFF096FPV/@@download/ENCFF096FPV.bed.gz
K562,ARHGAP35,Paired,https://www.encodeproject.org/files/ENCFF879SVY/@@download/ENCFF879SVY.bam,https://www.encodeproject.org/files/ENCFF113AKA/@@download/ENCFF113AKA.bed.gz
K562,ARHGAP35,Paired,https://www.encodeproject.org/files/ENCFF185TBI/@@download/ENCFF185TBI.bam,https://www.encodeproject.org/files/ENCFF113AKA/@@download/ENCFF113AKA.bed.gz
GM12878,ZNF687,Paired,https://www.encodeproject.org/files/ENCFF577XDA/@@download/ENCFF577XDA.bam,https://www.encodeproject.org/files/ENCFF665KNY/@@download/ENCFF665KNY.bed.gz
GM12878,ZNF687,Paired,https://www.encodeproject.org/files/ENCFF808DKU/@@download/ENCFF808DKU.bam,https://www.encodeproject.org/files/ENCFF665KNY/@@download/ENCFF665KNY.bed.gz
GM12878,ZNF622,Paired,https://www.encodeproject.org/files/ENCFF474JIF/@@download/ENCFF474JIF.bam,https://www.encodeproject.org/files/ENCFF222SAV/@@download/ENCFF222SAV.bed.gz
GM12878,ZNF622,Paired,https://www.encodeproject.org/files/ENCFF628YUZ/@@download/ENCFF628YUZ.bam,https://www.encodeproject.org/files/ENCFF222SAV/@@download/ENCFF222SAV.bed.gz
K562,BCLAF1,Paired,https://www.encodeproject.org/files/ENCFF633AHF/@@download/ENCFF633AHF.bam,https://www.encodeproject.org/files/ENCFF002NNQ/@@download/ENCFF002NNQ.bed.gz
K562,BCLAF1,Paired,https://www.encodeproject.org/files/ENCFF780RFE/@@download/ENCFF780RFE.bam,https://www.encodeproject.org/files/ENCFF002NNQ/@@download/ENCFF002NNQ.bed.gz
K562,BCLAF1,Paired,https://www.encodeproject.org/files/ENCFF847OPX/@@download/ENCFF847OPX.bam,https://www.encodeproject.org/files/ENCFF002NNQ/@@download/ENCFF002NNQ.bed.gz
K562,BCLAF1,Paired,https://www.encodeproject.org/files/ENCFF687OFO/@@download/ENCFF687OFO.bam,https://www.encodeproject.org/files/ENCFF002NNQ/@@download/ENCFF002NNQ.bed.gz
K562 genetically modified using stable transfection,eGFP-ETV1,Paired,https://www.encodeproject.org/files/ENCFF754PHR/@@download/ENCFF754PHR.bam,https://www.encodeproject.org/files/ENCFF692PZN/@@download/ENCFF692PZN.bed.gz
K562 genetically modified using stable transfection,eGFP-ETV1,Paired,https://www.encodeproject.org/files/ENCFF134DGA/@@download/ENCFF134DGA.bam,https://www.encodeproject.org/files/ENCFF692PZN/@@download/ENCFF692PZN.bed.gz
H1-hESC,SUZ12,Paired,https://www.encodeproject.org/files/ENCFF000BAA/@@download/ENCFF000BAA.bam,https://www.encodeproject.org/files/ENCFF371ZTN/@@download/ENCFF371ZTN.bed.gz
H1-hESC,SUZ12,Paired,https://www.encodeproject.org/files/ENCFF162SNW/@@download/ENCFF162SNW.bam,https://www.encodeproject.org/files/ENCFF371ZTN/@@download/ENCFF371ZTN.bed.gz
H1-hESC,SUZ12,Paired,https://www.encodeproject.org/files/ENCFF742XNS/@@download/ENCFF742XNS.bam,https://www.encodeproject.org/files/ENCFF371ZTN/@@download/ENCFF371ZTN.bed.gz
K562,CBX8,Paired,https://www.encodeproject.org/files/ENCFF433RFL/@@download/ENCFF433RFL.bam,https://www.encodeproject.org/files/ENCFF259GGN/@@download/ENCFF259GGN.bed.gz
K562,CBX8,Paired,https://www.encodeproject.org/files/ENCFF965GBZ/@@download/ENCFF965GBZ.bam,https://www.encodeproject.org/files/ENCFF259GGN/@@download/ENCFF259GGN.bed.gz
K562,SMARCA4,Paired,https://www.encodeproject.org/files/ENCFF886RND/@@download/ENCFF886RND.bam,https://www.encodeproject.org/files/ENCFF541RTC/@@download/ENCFF541RTC.bed.gz
K562,SMARCA4,Paired,https://www.encodeproject.org/files/ENCFF620XKU/@@download/ENCFF620XKU.bam,https://www.encodeproject.org/files/ENCFF541RTC/@@download/ENCFF541RTC.bed.gz
K562,SMARCA4,Paired,https://www.encodeproject.org/files/ENCFF872XMB/@@download/ENCFF872XMB.bam,https://www.encodeproject.org/files/ENCFF541RTC/@@download/ENCFF541RTC.bed.gz
K562,SMARCA4,Paired,https://www.encodeproject.org/files/ENCFF473GDU/@@download/ENCFF473GDU.bam,https://www.encodeproject.org/files/ENCFF541RTC/@@download/ENCFF541RTC.bed.gz
K562,CREB3L1,Paired,https://www.encodeproject.org/files/ENCFF355XUF/@@download/ENCFF355XUF.bam,https://www.encodeproject.org/files/ENCFF695WCL/@@download/ENCFF695WCL.bed.gz
K562,CREB3L1,Paired,https://www.encodeproject.org/files/ENCFF950GGY/@@download/ENCFF950GGY.bam,https://www.encodeproject.org/files/ENCFF695WCL/@@download/ENCFF695WCL.bed.gz
K562,EGR1,Paired,https://www.encodeproject.org/files/ENCFF843QAX/@@download/ENCFF843QAX.bam,https://www.encodeproject.org/files/ENCFF255VCC/@@download/ENCFF255VCC.bed.gz
K562,EGR1,Paired,https://www.encodeproject.org/files/ENCFF317UJS/@@download/ENCFF317UJS.bam,https://www.encodeproject.org/files/ENCFF255VCC/@@download/ENCFF255VCC.bed.gz
K562,EGR1,Paired,https://www.encodeproject.org/files/ENCFF199LSN/@@download/ENCFF199LSN.bam,https://www.encodeproject.org/files/ENCFF255VCC/@@download/ENCFF255VCC.bed.gz
K562,EGR1,Paired,https://www.encodeproject.org/files/ENCFF293ZMY/@@download/ENCFF293ZMY.bam,https://www.encodeproject.org/files/ENCFF255VCC/@@download/ENCFF255VCC.bed.gz
K562 genetically modified using stable transfection,eGFP-PBX2,Paired,https://www.encodeproject.org/files/ENCFF398PMO/@@download/ENCFF398PMO.bam,https://www.encodeproject.org/files/ENCFF075DYV/@@download/ENCFF075DYV.bed.gz
K562 genetically modified using stable transfection,eGFP-PBX2,Paired,https://www.encodeproject.org/files/ENCFF373IJK/@@download/ENCFF373IJK.bam,https://www.encodeproject.org/files/ENCFF075DYV/@@download/ENCFF075DYV.bed.gz
K562,NCOA4,Paired,https://www.encodeproject.org/files/ENCFF721BQE/@@download/ENCFF721BQE.bam,https://www.encodeproject.org/files/ENCFF605EKW/@@download/ENCFF605EKW.bed.gz
K562,NCOA4,Paired,https://www.encodeproject.org/files/ENCFF139XLL/@@download/ENCFF139XLL.bam,https://www.encodeproject.org/files/ENCFF605EKW/@@download/ENCFF605EKW.bed.gz
K562,ESRRA,Paired,https://www.encodeproject.org/files/ENCFF580KTO/@@download/ENCFF580KTO.bam,https://www.encodeproject.org/files/ENCFF406YGF/@@download/ENCFF406YGF.bed.gz
K562,ESRRA,Paired,https://www.encodeproject.org/files/ENCFF747PCD/@@download/ENCFF747PCD.bam,https://www.encodeproject.org/files/ENCFF406YGF/@@download/ENCFF406YGF.bed.gz
K562,ARID2,Paired,https://www.encodeproject.org/files/ENCFF937PDQ/@@download/ENCFF937PDQ.bam,https://www.encodeproject.org/files/ENCFF576BTO/@@download/ENCFF576BTO.bed.gz
K562,ARID2,Paired,https://www.encodeproject.org/files/ENCFF359SWY/@@download/ENCFF359SWY.bam,https://www.encodeproject.org/files/ENCFF576BTO/@@download/ENCFF576BTO.bed.gz
K562,ZEB2,Paired,https://www.encodeproject.org/files/ENCFF408DMA/@@download/ENCFF408DMA.bam,https://www.encodeproject.org/files/ENCFF295KFV/@@download/ENCFF295KFV.bed.gz
K562,ZEB2,Paired,https://www.encodeproject.org/files/ENCFF666BDF/@@download/ENCFF666BDF.bam,https://www.encodeproject.org/files/ENCFF295KFV/@@download/ENCFF295KFV.bed.gz
K562,ZEB2,Paired,https://www.encodeproject.org/files/ENCFF251WCF/@@download/ENCFF251WCF.bam,https://www.encodeproject.org/files/ENCFF295KFV/@@download/ENCFF295KFV.bed.gz
K562,ZEB2,Paired,https://www.encodeproject.org/files/ENCFF689KTQ/@@download/ENCFF689KTQ.bam,https://www.encodeproject.org/files/ENCFF295KFV/@@download/ENCFF295KFV.bed.gz
K562,REST,Paired,https://www.encodeproject.org/files/ENCFF271TUU/@@download/ENCFF271TUU.bam,https://www.encodeproject.org/files/ENCFF267RGU/@@download/ENCFF267RGU.bed.gz
K562,REST,Paired,https://www.encodeproject.org/files/ENCFF541OZF/@@download/ENCFF541OZF.bam,https://www.encodeproject.org/files/ENCFF267RGU/@@download/ENCFF267RGU.bed.gz
K562 genetically modified using stable transfection,eGFP-TSC22D4,Paired,https://www.encodeproject.org/files/ENCFF235MBT/@@download/ENCFF235MBT.bam,https://www.encodeproject.org/files/ENCFF575RVG/@@download/ENCFF575RVG.bed.gz
K562 genetically modified using stable transfection,eGFP-TSC22D4,Paired,https://www.encodeproject.org/files/ENCFF143UTJ/@@download/ENCFF143UTJ.bam,https://www.encodeproject.org/files/ENCFF575RVG/@@download/ENCFF575RVG.bed.gz
K562 genetically modified using stable transfection,eGFP-KLF13,Paired,https://www.encodeproject.org/files/ENCFF119KHE/@@download/ENCFF119KHE.bam,https://www.encodeproject.org/files/ENCFF119DBB/@@download/ENCFF119DBB.bed.gz
K562 genetically modified using stable transfection,eGFP-KLF13,Paired,https://www.encodeproject.org/files/ENCFF708ZXK/@@download/ENCFF708ZXK.bam,https://www.encodeproject.org/files/ENCFF119DBB/@@download/ENCFF119DBB.bed.gz
GM12878,ZNF24,Paired,https://www.encodeproject.org/files/ENCFF502XOF/@@download/ENCFF502XOF.bam,https://www.encodeproject.org/files/ENCFF882PND/@@download/ENCFF882PND.bed.gz
GM12878,ZNF24,Paired,https://www.encodeproject.org/files/ENCFF699QHD/@@download/ENCFF699QHD.bam,https://www.encodeproject.org/files/ENCFF882PND/@@download/ENCFF882PND.bed.gz
K562,TRIM24,Paired,https://www.encodeproject.org/files/ENCFF910SML/@@download/ENCFF910SML.bam,https://www.encodeproject.org/files/ENCFF261OOY/@@download/ENCFF261OOY.bed.gz
K562,TRIM24,Paired,https://www.encodeproject.org/files/ENCFF880NAD/@@download/ENCFF880NAD.bam,https://www.encodeproject.org/files/ENCFF261OOY/@@download/ENCFF261OOY.bed.gz
K562,TRIM24,Paired,https://www.encodeproject.org/files/ENCFF275IQO/@@download/ENCFF275IQO.bam,https://www.encodeproject.org/files/ENCFF261OOY/@@download/ENCFF261OOY.bed.gz
K562,TRIM24,Paired,https://www.encodeproject.org/files/ENCFF030VNO/@@download/ENCFF030VNO.bam,https://www.encodeproject.org/files/ENCFF261OOY/@@download/ENCFF261OOY.bed.gz
K562,TRIM24,Paired,https://www.encodeproject.org/files/ENCFF539KTK/@@download/ENCFF539KTK.bam,https://www.encodeproject.org/files/ENCFF303OST/@@download/ENCFF303OST.bed.gz
K562,TRIM24,Paired,https://www.encodeproject.org/files/ENCFF222XNY/@@download/ENCFF222XNY.bam,https://www.encodeproject.org/files/ENCFF303OST/@@download/ENCFF303OST.bed.gz
K562,TRIM24,Paired,https://www.encodeproject.org/files/ENCFF170PZN/@@download/ENCFF170PZN.bam,https://www.encodeproject.org/files/ENCFF303OST/@@download/ENCFF303OST.bed.gz
K562,TRIM24,Paired,https://www.encodeproject.org/files/ENCFF293FTN/@@download/ENCFF293FTN.bam,https://www.encodeproject.org/files/ENCFF303OST/@@download/ENCFF303OST.bed.gz
K562,E4F1,Paired,https://www.encodeproject.org/files/ENCFF538ISP/@@download/ENCFF538ISP.bam,https://www.encodeproject.org/files/ENCFF249GYD/@@download/ENCFF249GYD.bed.gz
K562,E4F1,Paired,https://www.encodeproject.org/files/ENCFF085VSJ/@@download/ENCFF085VSJ.bam,https://www.encodeproject.org/files/ENCFF249GYD/@@download/ENCFF249GYD.bed.gz
K562,EHMT2,Paired,https://www.encodeproject.org/files/ENCFF810HJE/@@download/ENCFF810HJE.bam,https://www.encodeproject.org/files/ENCFF315NKB/@@download/ENCFF315NKB.bed.gz
K562,EHMT2,Paired,https://www.encodeproject.org/files/ENCFF895ARY/@@download/ENCFF895ARY.bam,https://www.encodeproject.org/files/ENCFF315NKB/@@download/ENCFF315NKB.bed.gz
GM12878,BMI1,Paired,https://www.encodeproject.org/files/ENCFF963OQY/@@download/ENCFF963OQY.bam,https://www.encodeproject.org/files/ENCFF827JSS/@@download/ENCFF827JSS.bed.gz
GM12878,BMI1,Paired,https://www.encodeproject.org/files/ENCFF481IFQ/@@download/ENCFF481IFQ.bam,https://www.encodeproject.org/files/ENCFF827JSS/@@download/ENCFF827JSS.bed.gz
K562 genetically modified using stable transfection,eGFP-TEAD2,Paired,https://www.encodeproject.org/files/ENCFF666PDF/@@download/ENCFF666PDF.bam,https://www.encodeproject.org/files/ENCFF828PUB/@@download/ENCFF828PUB.bed.gz
K562 genetically modified using stable transfection,eGFP-TEAD2,Paired,https://www.encodeproject.org/files/ENCFF578CTB/@@download/ENCFF578CTB.bam,https://www.encodeproject.org/files/ENCFF828PUB/@@download/ENCFF828PUB.bed.gz
K562,E2F7,Paired,https://www.encodeproject.org/files/ENCFF795FKF/@@download/ENCFF795FKF.bam,https://www.encodeproject.org/files/ENCFF649PUW/@@download/ENCFF649PUW.bed.gz
K562,E2F7,Paired,https://www.encodeproject.org/files/ENCFF158RWF/@@download/ENCFF158RWF.bam,https://www.encodeproject.org/files/ENCFF649PUW/@@download/ENCFF649PUW.bed.gz
GM12878,TRIM22,Paired,https://www.encodeproject.org/files/ENCFF955CZU/@@download/ENCFF955CZU.bam,https://www.encodeproject.org/files/ENCFF543JOD/@@download/ENCFF543JOD.bed.gz
GM12878,TRIM22,Paired,https://www.encodeproject.org/files/ENCFF192BTS/@@download/ENCFF192BTS.bam,https://www.encodeproject.org/files/ENCFF543JOD/@@download/ENCFF543JOD.bed.gz
GM12878,TRIM22,Paired,https://www.encodeproject.org/files/ENCFF095HVO/@@download/ENCFF095HVO.bam,https://www.encodeproject.org/files/ENCFF543JOD/@@download/ENCFF543JOD.bed.gz
GM12878,TRIM22,Paired,https://www.encodeproject.org/files/ENCFF722RLB/@@download/ENCFF722RLB.bam,https://www.encodeproject.org/files/ENCFF543JOD/@@download/ENCFF543JOD.bed.gz
